StartTime,Type,AssemblyVersion,TenantId,Cmdlet,Parameters,PipelineIndex,OutputObjectCount,ExecutionResult,ClientRequestId,RequestId,AuthStrategy,HttpMethod,UrlHost,Endpoint,UrlPath,RequestSentCheckpoint,ResponseReceivedCheckpoint,ResponseStatusCode,ResponseSize,ResponseContentType,ResponseHeaders,TotalTime,GenericInfo,GenericLatency,GenericError
2020-12-28-16:55:00.759,2,,,,,0,1,Success,1e911e2e-0558-421f-ba29-670eae6194ba,34e357ef-5a56-4b9a-91e8-b83606619d40,0,GET,,0,/549ab248-06e0-4025-acb6-91f408ff217f/Recipient,0,733,200,1836,application/json;odata.metadata=minimal;charset=utf-8,,738,"IPR=0;SIN=FE:[BN9PR03CA0282];CFE:;FEPI:;BE:;CBE:BN8PR15MB2852.namprd15.prod.outlook.com;WS=738;WE=738",,
2020-12-28-16:55:00.759,1,17.00.5354.006,549ab248-06e0-4025-acb6-91f408ff217f,Get-EXORecipient,ResultSize,1,0,Success,1e911e2e-0558-421f-ba29-670eae6194ba,,0,,https://outlook.office365.com,2,,0,0,0,0,,,754,"IBP=0;PR=0;AUTT=2;EP=754",IBP=0;EP=0,
